PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
NV0000019,,,1021,Copper Ores
NV0000027,,,4911,Electric Services
NV0000035,,,4911,Electric Services
NV0000043,,,4011,"Railroads, Line-Haul Operating"
NV0000051,,,3274,Lime
NV0000060,331410,Nonferrous Metal [except Aluminum] Smelting and Refining,3339,Primary Nonferrous Metals
NV0000078,,,3399,Primary Metal Products
NV0000086,,,9999,Nonclassifiable Establishments
NV0000094,,,4953,Refuse Systems
NV0000108,,,3639,Household Appliances
NV0000116,,,9999,Nonclassifiable Establishments
NV0000124,,,9999,Nonclassifiable Establishments
NV0000351,,,8741,Management Services
NV0020001,,,4952,Sewerage Systems
NV0020010,,,4952,Sewerage Systems
NV0020028,,,4952,Sewerage Systems
NV0020036,,,4952,Sewerage Systems
NV0020044,,,4952,Sewerage Systems
NV0020052,,,4952,Sewerage Systems
NV0020061,,,4952,Sewerage Systems
NV0020079,,,4952,Sewerage Systems
NV0020087,,,4952,Sewerage Systems
NV0020095,,,4911,Electric Services
NV0020109,,,4911,Electric Services
NV0020117,,,4952,Sewerage Systems
NV0020125,,,4952,Sewerage Systems
NV0020133,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NV0020141,,,9223,Correctional Institutions
NV0020150,,,4952,Sewerage Systems
NV0020168,,,4952,Sewerage Systems
NV0020176,,,4952,Sewerage Systems
NV0020184,,,4971,Irrigation Systems
NV0020192,112990,All Other Animal Production,0921,Fish Hatcheries And Preserves
NV0020206,,,4952,Sewerage Systems
NV0020214,,,4952,Sewerage Systems
NV0020222,,,4952,Sewerage Systems
NV0020231,,,7033,Trailer Parks And Campsites
NV0020257,,,4952,Sewerage Systems
NV0020265,,,4952,Sewerage Systems
NV0020273,,,0211,Beef Cattle Feedlots
NV0020281,,,0211,Beef Cattle Feedlots
NV0020290,,,4952,Sewerage Systems
NV0020303,,,7999,Amusement And Recreation
NV0020311,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NV0020320,,,7011,Hotels And Motels
NV0020338,,,8641,Civic And Social Associations
NV0020346,,,7929,Entertainers & Entertainment Groups
NV0020354,,,6512,Nonresidential Building Operators
NV0020362,,,7011,Hotels And Motels
NV0020371,,,4952,Sewerage Systems
NV0020389,,,0211,Beef Cattle Feedlots
NV0020397,,,6021,National Commercial Banks
NV0020401,,,0211,Beef Cattle Feedlots
NV0020419,,,0211,Beef Cattle Feedlots
NV0020427,,,9111,Executive Offices
NV0020435,,,9223,Correctional Institutions
NV0020443,,,7999,Amusement And Recreation
NV0020451,,,4952,Sewerage Systems
NV0020460,,,6036,"Savings Institutions, Except Federal"
NV0020478,,,9221,Police Protection
NV0020486,,,0211,Beef Cattle Feedlots
NV0020494,,,4971,Irrigation Systems
NV0020508,,,4971,Irrigation Systems
NV0020516,,,8062,General Medical & Surgical Hospitals
NV0020524,,,0211,Beef Cattle Feedlots
NV0020541,,,0211,Beef Cattle Feedlots
NV0020559,,,0211,Beef Cattle Feedlots
NV0020567,,,0211,Beef Cattle Feedlots
NV0020575,,,4971,Irrigation Systems
NV0020583,,,0211,Beef Cattle Feedlots
NV0020591,,,0211,Beef Cattle Feedlots
NV0020605,,,0211,Beef Cattle Feedlots
NV0020613,,,7999,Amusement And Recreation
NV0020621,,,0921,Fish Hatcheries And Preserves
NV0020630,,,7011,Hotels And Motels
NV0020648,,,4971,Irrigation Systems
NV0020656,112990,All Other Animal Production,0921,Fish Hatcheries And Preserves
NV0020664,112990,All Other Animal Production,0921,Fish Hatcheries And Preserves
NV0020672,,,0921,Fish Hatcheries And Preserves
NV0020681,,,0211,Beef Cattle Feedlots
NV0020699,,,0211,Beef Cattle Feedlots
NV0020702,,,0211,Beef Cattle Feedlots
NV0020711,,,0273,Animal Aquaculture
NV0020729,,,4971,Irrigation Systems
NV0020737,,,4952,Sewerage Systems
NV0020745,,,8322,Individual And Family Services
NV0020753,,,0211,Beef Cattle Feedlots
NV0020761,,,1011,Iron Ores
NV0020770,,,4952,Sewerage Systems
NV0020788,,,6513,Apartment Building Operators
NV0020796,,,1522,Residential Construction
NV0020800,,,4971,Irrigation Systems
NV0020818,,,1522,Residential Construction
NV0020826,,,3295,"Minerals, Ground Or Treated"
NV0020834,,,4941,Water Supply
NV0020842,,,1011,Iron Ores
NV0020851,,,4941,Water Supply
NV0020869,,,4941,Water Supply
NV0020877,,,4941,Water Supply
NV0020885,,,0241,Dairy Farms
NV0020893,562910,Remediation Services,3589,Service Industry Machinery
NV0020907,,,3625,Relays And Industrial Controls
NV0020915,,,4011,"Railroads, Line-Haul Operating"
NV0020923,,,2812,Alkalies And Chlorine
NV0020931,,,5171,Petroleum Bulk Stations & Terminals
NV0020940,,,4952,Sewerage Systems
NV0020958,,,4952,Sewerage Systems
NV0020966,,,1442,Construction Sand And Gravel
NV0020974,,,7011,Hotels And Motels
NV0020982,,,1031,Lead And Zinc Ores
NV0020991,,,7011,Hotels And Motels
NV0021008,,,7011,Hotels And Motels
NV0021024,,,3295,"Minerals, Ground Or Treated"
NV0021032,,,0241,Dairy Farms
NV0021041,,,0241,Dairy Farms
NV0021059,,,1622,"Bridge, Tunnel, & Elevated Highway"
NV0021067,,,7011,Hotels And Motels
NV0021075,,,4952,Sewerage Systems
NV0021083,,,0241,Dairy Farms
NV0021091,326220,Rubber and Plastics Hoses and Belting Manufacturing,3052,Rubber & Plastics Hose & Belting
NV0021105,,,6512,Nonresidential Building Operators
NV0021113,,,4952,Sewerage Systems
NV0021121,,,7011,Hotels And Motels
NV0021130,,,0241,Dairy Farms
NV0021148,,,0241,Dairy Farms
NV0021156,,,9999,Nonclassifiable Establishments
NV0021164,,,9999,Nonclassifiable Establishments
NV0021172,,,1622,"Bridge, Tunnel, & Elevated Highway"
NV0021181,,,1442,Construction Sand And Gravel
NV0021199,,,0241,Dairy Farms
NV0021202,,,4952,Sewerage Systems
NV0021211,,,7011,Hotels And Motels
NV0021229,,,7011,Hotels And Motels
NV0021237,,,1622,"Bridge, Tunnel, & Elevated Highway"
NV0021245,,,1044,Silver Ores
NV0021261,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NV0021270,,,3356,Nonferrous Rolling And Drawing
NV0021288,,,4952,Sewerage Systems
NV0021318,,,1041,Gold Ores
NV0021369,,,2024,Ice Cream And Frozen Desserts
NV0021385,,,1044,Silver Ores
NV0021393,,,8733,Noncommercial Research Organizations
NV0021407,,,4911,Electric Services
NV0021423,,,1442,Construction Sand And Gravel
NV0021482,,,4953,Refuse Systems
NV0021491,,,7011,Hotels And Motels
NV0021504,,,0921,Fish Hatcheries And Preserves
NV0021512,,,4225,General Warehousing And Storage
NV0021521,,,1041,Gold Ores
NV0021539,,,4952,Sewerage Systems
NV0021555,,,1629,Heavy Construction
NV0021563,221320,Sewage Treatment Facilities,4952,Sewerage Systems
NV0021571,,,1041,Gold Ores
NV0021580,,,4952,Sewerage Systems
NV0021598,,,7011,Hotels And Motels
NV0021601,,,7011,Hotels And Motels
NV0021628,,,9511,"Air, Water, & Solid Waste Management"
NV0021636,,,5541,Gasoline Service Stations
NV0021652,,,1041,Gold Ores
NV0021679,,,7992,Public Golf Courses
NV0021687,,,5541,Gasoline Service Stations
NV0021717,,,5541,Gasoline Service Stations
NV0021725,212221,Gold Ore Mining,1041,Gold Ores
NV0021733,,,5541,Gasoline Service Stations
NV0021741,,,5411,Grocery Stores
NV0021750,721120,Casino Hotels,7011,Hotels And Motels
NV0021784,,,1081,Metal Mining Services
NV0021806,,,2911,Petroleum Refining
NV0021814,,,5172,Petroleum Products
NV0021822,,,1623,"Water, Sewer, And Utility Lines"
NV0021849,,,5084,Industrial Machinery And Equipment
NV0021857,,,4952,Sewerage Systems
NV0021865,,,4952,Sewerage Systems
NV0021873,,,4952,Sewerage Systems
